duration,packet_size,failed_logins,request_rate,Attack_Label
494,911,2,176,0
125,451,5,164,0
616,1218,9,208,1
525,1045,3,328,1
835,870,6,401,1
722,511,10,47,1
975,459,10,27,1
479,1355,9,206,1
556,1005,2,425,1
245,876,1,166,0
5,380,1,75,0
811,651,4,150,0
914,553,2,127,0
682,881,3,401,1
828,1454,1,220,0
382,1475,8,376,1
274,1229,0,141,0
827,1458,2,173,0
665,293,3,345,1
347,475,9,464,1
328,1354,8,231,1
848,105,5,334,1
673,1463,5,375,1
96,835,9,388,1
222,1165,9,433,1
394,341,4,160,0
518,489,5,305,1
280,1145,10,127,1
413,854,4,209,0
374,1008,6,76,1
565,520,1,357,1
597,382,7,421,1
181,521,3,332,1
122,260,1,248,0
480,1421,3,325,1
62,81,6,84,1
210,1414,1,430,1
530,720,10,159,1
644,1131,7,149,1
938,1143,1,285,0
360,1208,0,55,0
427,625,3,65,0
527,550,10,249,1
933,805,6,452,1
788,560,8,245,1
367,578,5,125,0
727,1228,10,149,1
302,298,4,470,1
137,1347,5,396,1
266,1325,8,395,1
31,1343,1,230,0
843,381,6,384,1
813,1364,3,47,0
128,1278,6,288,1
48,1265,7,298,1
679,522,10,79,1
921,139,0,106,0
18,1225,0,252,0
675,816,8,461,1
275,894,7,40,1
630,1210,0,292,0
688,954,10,344,1
308,1469,2,11,0
168,454,9,359,1
926,937,4,167,0
704,1088,2,379,1
437,437,2,292,0
613,1065,5,302,1
680,507,1,298,0
682,1325,4,393,1
792,671,0,22,0
462,393,0,149,0
925,71,10,427,1
340,1258,1,244,0
709,885,2,474,1
111,1003,9,271,1
586,587,5,222,0
87,1025,0,457,1
962,123,9,413,1
446,475,0,210,0
788,300,10,275,1
847,288,5,298,0
298,581,8,101,1
370,821,4,100,0
522,1168,10,301,1
658,1059,7,322,1
598,652,10,475,1
669,212,4,471,1
998,965,0,116,0
416,65,1,204,0
570,1073,4,110,0
907,59,3,343,1
889,1089,9,336,1
597,1090,4,457,1
808,1267,2,408,1
919,1396,2,424,1
762,665,5,351,1
398,401,3,309,1
405,1044,4,70,0
536,1267,6,95,1
532,79,5,355,1
232,311,5,186,0
479,1482,6,70,1
655,545,4,299,0
285,1041,3,184,0
997,737,4,428,1
701,1496,9,493,1
294,156,2,67,0
394,1255,10,165,1
233,158,0,207,0
650,244,9,344,1
47,1123,9,45,1
814,1090,4,216,0
803,886,6,178,1
425,335,7,80,1
36,203,9,174,1
300,315,0,378,1
666,1069,10,350,1
806,1035,6,93,1
514,53,10,435,1
582,464,1,235,0
539,446,10,158,1
552,352,1,187,0
851,556,5,107,0
384,706,8,312,1
909,720,7,268,1
860,1413,4,114,0
427,568,7,31,1
912,515,2,308,1
254,1232,2,362,1
800,1279,8,279,1
704,492,4,140,0
200,1087,2,402,1
281,1364,6,295,1
265,1097,0,208,0
502,207,2,429,1
823,1165,5,331,1
46,1204,7,317,1
70,582,6,8,1
896,347,9,352,1
962,367,0,313,1
676,794,9,68,1
753,528,3,362,1
797,568,3,442,1
747,811,1,218,0
707,342,2,492,1
380,1496,6,485,1
685,736,4,62,0
235,174,6,217,1
416,795,1,154,0
625,494,8,88,1
397,43,3,478,1
766,1281,6,88,1
734,1081,10,239,1
275,1209,8,292,1
989,237,0,216,0
667,1150,4,302,1
39,496,0,75,0
116,168,6,325,1
857,223,2,395,1
221,29,8,437,1
985,39,1,319,1
219,955,8,433,1
972,1414,10,323,1
706,1089,3,445,1
54,1037,8,136,1
751,814,9,409,1
733,610,6,2,1
377,606,10,388,1
864,522,10,163,1
961,728,5,149,0
602,974,4,121,0
369,1498,5,116,0
48,102,5,116,0
227,1338,3,484,1
282,271,4,84,0
956,728,0,309,1
649,123,5,34,0
382,848,4,471,1
184,328,0,140,0
167,1202,10,97,1
120,77,10,63,1
769,614,6,233,1
467,1188,6,343,1
460,914,8,458,1
478,574,0,140,0
841,123,10,477,1
326,299,2,31,0
777,344,3,498,1
909,502,10,440,1
282,1121,6,152,1
371,256,1,390,1
391,412,4,234,0
404,1246,3,389,1
861,1348,4,215,0
253,732,6,434,1
168,211,7,491,1
291,1328,3,35,0
177,1260,8,492,1
554,1390,5,70,0
194,941,4,165,0
393,186,6,298,1
786,561,5,119,0
454,1340,3,417,1
151,45,2,254,0
667,866,3,381,1
890,499,8,266,1
601,689,6,10,1
755,1065,1,166,0
455,1268,10,153,1
955,316,2,340,1
855,332,9,25,1
362,43,5,254,0
870,145,7,66,1
841,1039,4,487,1
627,405,10,43,1
762,960,9,52,1
792,1006,3,227,0
177,937,3,57,0
13,1060,8,109,1
432,37,7,473,1
744,1436,9,409,1
988,737,5,159,0
273,355,6,336,1
191,655,6,320,1
376,630,7,99,1
584,178,1,163,0
663,995,10,62,1
235,1234,10,112,1
700,1419,5,85,0
229,1394,7,56,1
641,1368,6,18,1
956,589,1,399,1
203,516,4,202,0
572,1436,8,377,1
257,156,6,411,1
268,1382,9,39,1
705,1335,7,97,1
63,1007,4,249,0
544,389,3,357,1
552,567,6,147,1
367,1420,3,169,0
541,677,6,317,1
596,524,2,87,0
820,126,4,356,1
582,989,7,403,1
706,581,7,483,1
110,764,0,45,0
64,962,7,3,1
657,1340,6,167,1
718,1288,3,268,0
620,232,4,478,1
966,191,9,32,1
489,519,0,339,1
399,331,2,437,1
692,268,3,327,1
991,919,5,316,1
928,46,1,485,1
674,852,6,450,1
207,1304,10,225,1
432,1272,10,381,1
270,1148,2,307,1
237,1135,5,471,1
290,658,3,149,0
333,455,3,424,1
613,29,4,146,0
490,1326,9,280,1
886,955,7,379,1
882,1016,7,296,1
551,933,8,333,1
682,966,9,494,1
176,1460,3,124,0
648,963,4,417,1
252,947,4,120,0
383,752,5,378,1
